id,name,uri,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Group,group_n
0aEcArQsqTpErHdixEVaHj,Killer Joe,spotify:track:0aEcArQsqTpErHdixEVaHj,"Benny Golson, ",0.7929999999999999,0.532,413427,0.369,0.00609,5,0.0819,-10.255,1,0.0407,120.19200000000001,4.0,0.233,dinner,0
2BhU0Hl5OatWiCW93pE2b8,Remember - 1999 Digital Remaster,spotify:track:2BhU0Hl5OatWiCW93pE2b8,"Hank Mobley, ",0.794,0.539,342333,0.40299999999999997,0.0006129999999999999,8,0.278,-9.168,1,0.0531,165.301,4.0,0.688,dinner,0
3gPr9tbx4jSM0nS6O9J5UZ,Blues for Sharpie,spotify:track:3gPr9tbx4jSM0nS6O9J5UZ,"David Hazeltine, ",0.624,0.493,329653,0.28300000000000003,0.109,2,0.11699999999999999,-17.36,1,0.0316,73.745,4.0,0.39399999999999996,dinner,0
77q37gyYNb25EzIkpMic11,Smoke Stack - 1999 Digital Remaster,spotify:track:77q37gyYNb25EzIkpMic11,"Johnny Griffin, ",0.602,0.498,660376,0.7390000000000001,0.00044,5,0.192,-7.167000000000001,1,0.0587,109.691,4.0,0.836,dinner,0
1zEkUwTpz0zKRMPsZdzMbY,Just in Time,spotify:track:1zEkUwTpz0zKRMPsZdzMbY,"Bud Shank, ",0.889,0.606,225960,0.253,0.836,0,0.147,-14.412,0,0.0342,88.155,4.0,0.59,dinner,0
3hY3MPL9hAITPgVfiVlL5K,Stella By Starlight,spotify:track:3hY3MPL9hAITPgVfiVlL5K,"Joe Lovano, ",0.9259999999999999,0.581,347773,0.163,0.861,0,0.11599999999999999,-16.612000000000002,0,0.0547,88.101,4.0,0.44299999999999995,dinner,0
2nhuWw711RfPtIY3NrpOZw,Let's Fall In Love,spotify:track:2nhuWw711RfPtIY3NrpOZw,"Stan Getz, Gerry Mulligan, ",0.8170000000000001,0.42700000000000005,386280,0.21600000000000003,0.0041600000000000005,5,0.136,-14.165999999999999,1,0.0348,149.322,4.0,0.515,dinner,0
6pZOrJ9w1HbZJWu9TvBzIs,Brother Hiroshi,spotify:track:6pZOrJ9w1HbZJWu9TvBzIs,"Anthony Wonsey Trio, Richie Goods, Tony Reedus, ",0.7,0.5710000000000001,379773,0.474,0.59,4,0.196,-11.634,0,0.0333,62.545,4.0,0.37200000000000005,dinner,0
4WCZalosPdTXmwZ5ZUOarr,Ham Hocks and Cabbage,spotify:track:4WCZalosPdTXmwZ5ZUOarr,"Christian McBride, Christian McBride Trio, ",0.696,0.557,505067,0.10400000000000001,0.899,3,0.1,-22.669,0,0.0437,123.145,4.0,0.315,dinner,0
3aiVRVghyLm8uMZoL4U96c,Blue Monk,spotify:track:3aiVRVghyLm8uMZoL4U96c,"Ray Bryant Trio, ",0.8420000000000001,0.632,309227,0.26,0.125,5,0.138,-14.86,1,0.0346,104.741,4.0,0.387,dinner,0
4QJTE3XQIN8lY4RBwc2c6w,Lucky To Be Me,spotify:track:4QJTE3XQIN8lY4RBwc2c6w,"Tommy Flanagan, ",0.885,0.5720000000000001,255000,0.488,0.853,2,0.10300000000000001,-10.687999999999999,0,0.0592,126.43,4.0,0.603,dinner,0
3INugpDQxj3H8UlGg0zigo,Love Jumped Out,spotify:track:3INugpDQxj3H8UlGg0zigo,"Stan Getz, Bob Brookmeyer, ",0.757,0.597,466240,0.263,1.4400000000000001e-05,2,0.0921,-17.465999999999998,0,0.0468,79.227,4.0,0.515,dinner,0
11jHKP7tpYcDrVuSctGG6o,Stolen Moments,spotify:track:11jHKP7tpYcDrVuSctGG6o,"Oliver Nelson, ",0.884,0.5329999999999999,524933,0.192,0.835,0,0.14300000000000002,-16.904,0,0.0475,115.64200000000001,4.0,0.33399999999999996,dinner,0
37fKuIYSd67vF8mPpkgKyS,Honeysuckle Rose,spotify:track:37fKuIYSd67vF8mPpkgKyS,"Ray Bryant, ",0.898,0.55,383027,0.389,0.914,1,0.106,-15.542,1,0.0308,166.24599999999998,4.0,0.753,dinner,0
6keKDGemOj5o7VJHNVaeYl,Bee Blues,spotify:track:6keKDGemOj5o7VJHNVaeYl,"Brad Mehldau Trio, ",0.804,0.573,402013,0.271,0.8,6,0.0877,-16.137999999999998,1,0.0489,130.623,4.0,0.45399999999999996,dinner,0
5x0knlH4sCOHjw2GjEZPEB,London Blues,spotify:track:5x0knlH4sCOHjw2GjEZPEB,"Brad Mehldau, ",0.7020000000000001,0.455,422067,0.255,0.894,6,0.0591,-18.989,1,0.0492,79.76100000000001,4.0,0.29100000000000004,dinner,0
1um3T5M9KAgWLDQk0IUzhh,Eronel,spotify:track:1um3T5M9KAgWLDQk0IUzhh,"Thelonious Monk, ",0.525,0.48700000000000004,270133,0.354,0.000273,9,0.0958,-13.884,0,0.0417,177.572,4.0,0.731,dinner,0
3AhSSfO1Bovo84lQjJZrzZ,Send It On,spotify:track:3AhSSfO1Bovo84lQjJZrzZ,"D'Angelo, ",0.168,0.789,356493,0.258,0.0071400000000000005,5,0.326,-11.759,1,0.10400000000000001,127.491,3.0,0.33299999999999996,dinner,0
14VwBAL1qSlG4ovOSYUQF4,Spend The Night,spotify:track:14VwBAL1qSlG4ovOSYUQF4,"Rahsaan Patterson, ",0.0441,0.685,293400,0.5489999999999999,5.39e-05,2,0.0676,-9.175,0,0.0229,90.04299999999999,4.0,0.708,dinner,0
1tV7RXsTGdwxAvEo8Rv9pp,No Ordinary Love - Remastered,spotify:track:1tV7RXsTGdwxAvEo8Rv9pp,"Sade, ",0.6409999999999999,0.619,438707,0.486,0.00883,11,0.0918,-10.421,0,0.0396,166.146,4.0,0.7709999999999999,dinner,0
7BAAhI1TT3dDBS3WKrJhyZ,Keep You in Mind,spotify:track:7BAAhI1TT3dDBS3WKrJhyZ,"Guordan Banks, ",0.625,0.633,195997,0.611,0.0021899999999999997,1,0.107,-6.56,1,0.0443,167.977,4.0,0.364,dinner,0
1HazDXnvOTubBFmZnabq7Q,So In Love - feat. Anthony Hamilton,spotify:track:1HazDXnvOTubBFmZnabq7Q,"Jill Scott, ",0.363,0.7090000000000001,275400,0.7040000000000001,0.0,8,0.344,-6.021,1,0.0486,102.00299999999999,4.0,0.46399999999999997,dinner,0
64mSigGWctZbfbfFpmBeer,Show Me the Way,spotify:track:64mSigGWctZbfbfFpmBeer,"Earth & Wind & Fire feat. Raphael Saadiq, ",0.428,0.602,467733,0.49700000000000005,0.000978,11,0.342,-5.865,1,0.0534,139.99,4.0,0.45399999999999996,dinner,0
2wmHH8Xc9P2RN6fGDH4ON6,Anniversary - Radio Edit,spotify:track:2wmHH8Xc9P2RN6fGDH4ON6,"Tony! Toni! Toné!, ",0.05,0.7070000000000001,272000,0.508,0.0,8,0.255,-9.629,0,0.0344,88.98899999999999,4.0,0.58,dinner,0
0QmLbWOTGnaMgUCL8xfWiw,Angel (Live),spotify:track:0QmLbWOTGnaMgUCL8xfWiw,"Lalah Hathaway, ",0.369,0.5670000000000001,342067,0.5,5.5e-05,11,0.53,-9.294,1,0.033,80.626,4.0,0.4,dinner,0
397fxHew7NyjryGWGr1Imy,"Baby, This Love I Have",spotify:track:397fxHew7NyjryGWGr1Imy,"Minnie Riperton, ",0.315,0.589,250867,0.43700000000000006,0.0012699999999999999,6,0.0944,-12.581,0,0.0487,83.26299999999999,4.0,0.747,dinner,0
6Z6apKp8CAta4BwlrrwlxO,All The Joy,spotify:track:6Z6apKp8CAta4BwlrrwlxO,"Moonchild, ",0.843,0.6559999999999999,216453,0.217,4.2999999999999995e-06,5,0.29600000000000004,-13.725,1,0.0538,90.065,4.0,0.217,dinner,0
3gATNBVu8d7oWs9WijPDjD,Pink + White,spotify:track:3gATNBVu8d7oWs9WijPDjD,"Frank Ocean, ",0.674,0.539,184516,0.546,4.8599999999999995e-05,9,0.42200000000000004,-7.4479999999999995,1,0.106,159.996,3.0,0.536,dinner,0
2NnvIfwJpJtIHCsoWU3BCz,First Began,spotify:track:2NnvIfwJpJtIHCsoWU3BCz,"PJ Morton, ",0.809,0.6409999999999999,245099,0.191,0.000646,6,0.0943,-10.101,1,0.0375,72.499,4.0,0.425,dinner,0
1oiD5zGVKxlMNCxSUXGL9g,The Greatest,spotify:track:1oiD5zGVKxlMNCxSUXGL9g,"KING, ",0.009040000000000001,0.601,195424,0.8220000000000001,0.0159,5,0.0617,-5.407,0,0.0352,167.92700000000002,4.0,0.956,dinner,0
04Ojun9jaS6U7HTwRIoRf3,Green Aphrodisiac,spotify:track:04Ojun9jaS6U7HTwRIoRf3,"Corinne Bailey Rae, ",0.687,0.5579999999999999,351227,0.505,0.0007610000000000001,0,0.102,-7.614,0,0.0314,135.958,4.0,0.14800000000000002,dinner,0
